File_Name,Vendor_Name,Title,Rating,Reviews,Sales,Ship_From,Ship_To,Availablity,Ship_Methods
00001,greenpirate,1 x POWER PLANT XL autoflower seed,4.5 out of 5,20,62,Unknown Location,World Wide,Yes,priority post ― 30 day ― 2 USD
00003,Safety1st,1x Feminized AUTOFLOWER AK-47 Cannabis Seeds,5 out of 5,1,4,Netherlands,World Wide,Yes,Minimal -- 2 day -- Maximal ― 1 day ― 4.98 EUR
00004,greenpirate,1 x KALASHNIKOV autoflower seed,4.5 out of 5,20,62,Unknown Location,World Wide,Yes,priority post ― 30 day ― 2 USD
00005,Safety1st,1x Feminized GORILLA GLUE Cannabis Seeds,5 out of 5,1,4,Netherlands,World Wide,Yes,Minimal -- 2 day -- Maximal ― 1 day ― 4.98 EUR
00007,Safety1st,1x Feminized CHEESE Cannabis Seeds from the Netherlands,5 out of 5,1,4,Netherlands,World Wide,Yes,Minimal -- 2 day -- Maximal ― 1 day ― 4.98 EUR
00010,Safety1st,1x Feminized WHITE WIDOW Cannabis Seeds from the Netherlands,5 out of 5,1,4,Netherlands,World Wide,Yes,Minimal -- 2 day -- Maximal ― 1 day ― 4.98 EUR
00011,commissionerau,Racemic Ketamine Powder - Australia local delivery (1 gram),0 out of 5,0,0,Australia,Australia,Yes,"Parcel Post (Regular) with tracking ― 3 day ― 9.95 AUD
Express WITH TRACKING ― 2 day ― 19.95 AUD"
00017,MicroDroper,⭐ ETOMETHAZENE BETTER THAN OXYCONTIN! 😊👌,4.7 out of 5,321,16478,China,World Wide,Yes,TRACKED SHIPPING FROM CHINA ― 12 day ― 0 USD
00018,monsterlabstore,Yk-11 Myostatin Inhibitator 100 ml 20 mg,5 out of 5,112,377,Unknown Location,World Wide,Yes,"International flat rate ― 30 day ― 10 USD  International
express ― 14 day ― 70 USD  Already payed 1 shipping ― 30 day ― 0 USD"
00019,MicroDroper,⭐ WHITE ISOTONITAZENE FREE SHIPPING WORLDWIDE 😊👌,4.7 out of 5,321,16478,China,World Wide,Yes,― 12 day ― 0 USD
00025,themushrooman,Magic Mushrooms - 125mg microdose capsules x100,5 out of 5,166,576,Australia,Australia,Yes,"Tracked Package, Regular Post ― 14 day ― 0 AUD  Tracked
Package, Express Post ― 5 day ― 15 AUD"
00026,SkullsandSkills,Wizard Fingers Psilocybin Mushrooms,4.7 out of 5,44,66,Unknown Location,United States,Yes,Priority US Only ― 5 day ― 20 USD
00028,maurelius,500g Gelato Dust Shake Trim £1400,4.9 out of 5,535,6354,United Kingdom,European Union,Yes,"UK to UK Standart Shipping ― 3 day ― 0 GBP  UK to Ireland
Standart Shipping ― 7 day ― 3.5 GBP  UK to EU Standart Shipping ― 7 day ― 3.5
GBP  UK to UK/EU Tracked and Sign ― 3 day ― 12.5 GBP"
00035,cocainecartel,1-500g NEEDLE KETAMINE S-ISOMER SHARDS,0 out of 5,0,0,United Kingdom,World Wide,Yes,"ROYAL MAIL TRACKED24 ― 2 day ― 3 GBP  EUROPE SHIPPING ― 15
day ― 15 GBP  WORLDWIDE SHIPPING ― 25 day ― 30 GBP"
00057,hydroguru,Hydroguru - 500 pills Hydrocodone 36/01,5 out of 5,2,2,United Kingdom,World Wide,Yes,Express Mailing ― 2 day ― 100 USD
00059,hydroguru,M367 (Acetaminophen and Hydrocodone Bitartrate 325 mg / 10 mg),5 out of 5,2,2,United Kingdom,World Wide,Yes,Express Mailing ― 2 day ― 100 USD
00067,TreasureCrib,lidocaine patch,0 out of 5,0,0,Unknown Location,World Wide,Yes,DHL ― 5 day ― 50 USD
00073,MasterMeds,Eu- Armodafinil ARTVIGIL 150mg 50-200 tabs,5 out of 5,611,1075,Netherlands,North America - United States - United Kingdom,Yes,EU to US or UK Only ― 14 day ― 25 USD
00076,TreasureCrib,SGT-263 Available now,0 out of 5,0,0,Unknown Location,World Wide,Yes,DHL ― 5 day ― 50 USD
00081,hydroguru,Hydroguru - 1 Gram Methoxetamine (MXE),5 out of 5,2,2,Unknown Location,World Wide,Yes,Express Mailing ― 1 day ― 0 USD
00082,TreasureCrib,4-Meo-PCP in stocks with the best quality,0 out of 5,0,0,Unknown Location,World Wide,Yes,DHL ― 5 day ― 50 USD
00083,TreasureCrib,Methoxpropamine powder Available in stock,0 out of 5,0,0,Unknown Location,World Wide,Yes,DHL ― 5 day ― 50 USD
00084,TreasureCrib,MOTHOXPROPAMINE BEST QUALITY TOP GFRADE WITH HIGH PURITY LEVEL,0 out of 5,0,0,Unknown Location,World Wide,Yes,DHL ― 5 day ― 50 USD
