Drug_Type_L,word,n,fre
Benzodiazepine (Benzos),bars,49,0.014843986670705847
Benzodiazepine (Benzos),quality,38,0.011511663132384126
Benzodiazepine (Benzos),feel,34,0.010299909118448955
Benzodiazepine (Benzos),free,28,0.008482278097546198
Benzodiazepine (Benzos),pills,28,0.008482278097546198
Benzodiazepine (Benzos),press,28,0.008482278097546198
Benzodiazepine (Benzos),valium,28,0.008482278097546198
Benzodiazepine (Benzos),shipping,27,0.008179339594062406
Benzodiazepine (Benzos),address,26,0.007876401090578612
Benzodiazepine (Benzos),contact,26,0.007876401090578612
Benzodiazepine (Benzos),time,26,0.007876401090578612
Benzodiazepine (Benzos),alprazolam,25,0.007573462587094819
Benzodiazepine (Benzos),days,23,0.0069675855801272345
Benzodiazepine (Benzos),xanax,23,0.0069675855801272345
Benzodiazepine (Benzos),delivery,22,0.006664647076643442
Benzodiazepine (Benzos),anxiety,21,0.006361708573159649
Benzodiazepine (Benzos),details,20,0.006058770069675856
Benzodiazepine (Benzos),treat,20,0.006058770069675856
Benzodiazepine (Benzos),usd,20,0.006058770069675856
Benzodiazepine (Benzos),effects,19,0.005755831566192063
Benzodiazepine (Benzos),benzodiazepine,18,0.00545289306270827
Benzodiazepine (Benzos),product,18,0.00545289306270827
Benzodiazepine (Benzos),professional,18,0.00545289306270827
Benzodiazepine (Benzos),cannedgoods,17,0.0051499545592244775
Benzodiazepine (Benzos),drug,17,0.0051499545592244775
Benzodiazepine (Benzos),lsd,17,0.0051499545592244775
Benzodiazepine (Benzos),market,17,0.0051499545592244775
Benzodiazepine (Benzos),products,17,0.0051499545592244775
Benzodiazepine (Benzos),clonazolam,16,0.004847016055740685
Benzodiazepine (Benzos),listing,16,0.004847016055740685
Benzodiazepine (Benzos),service,15,0.004544077552256892
Benzodiazepine (Benzos),team,15,0.004544077552256892
Benzodiazepine (Benzos),xtc,15,0.004544077552256892
Benzodiazepine (Benzos),acts,14,0.004241139048773099
Benzodiazepine (Benzos),bar,14,0.004241139048773099
Benzodiazepine (Benzos),clonazepam,14,0.004241139048773099
Benzodiazepine (Benzos),day,14,0.004241139048773099
Benzodiazepine (Benzos),klonopin,14,0.004241139048773099
Benzodiazepine (Benzos),pm,14,0.004241139048773099
Benzodiazepine (Benzos),safety,14,0.004241139048773099
Benzodiazepine (Benzos),customer,13,0.003938200545289306
Benzodiazepine (Benzos),return,13,0.003938200545289306
Benzodiazepine (Benzos),usa,13,0.003938200545289306
Benzodiazepine (Benzos),business,12,0.0036352620418055137
Benzodiazepine (Benzos),checking,12,0.0036352620418055137
Benzodiazepine (Benzos),dosed,12,0.0036352620418055137
Benzodiazepine (Benzos),escrow,12,0.0036352620418055137
Benzodiazepine (Benzos),fault,12,0.0036352620418055137
Benzodiazepine (Benzos),pill,12,0.0036352620418055137
Benzodiazepine (Benzos),policy,12,0.0036352620418055137
Cannabis,strain,314,0.02147155361050328
Cannabis,haze,210,0.014359956236323851
Cannabis,sativa,177,0.012103391684901531
Cannabis,amnesia,141,0.009641684901531729
Cannabis,indica,128,0.0087527352297593
Cannabis,effects,122,0.008342450765864333
Cannabis,cannabis,115,0.00786378555798687
Cannabis,thc,112,0.007658643326039387
Cannabis,strains,91,0.006222647702407002
Cannabis,kush,89,0.006085886214442013
Cannabis,hybrid,79,0.005402078774617068
Cannabis,buds,64,0.00437636761487965
Cannabis,body,55,0.003760940919037199
Cannabis,marijuana,55,0.003760940919037199
Cannabis,flavor,54,0.003692560175054705
Cannabis,cookies,52,0.0035557986870897156
Cannabis,aroma,51,0.003487417943107221
Cannabis,time,51,0.003487417943107221
Cannabis,depression,50,0.0034190371991247265
Cannabis,dominant,50,0.0034190371991247265
Cannabis,sour,50,0.0034190371991247265
Cannabis,super,50,0.0034190371991247265
Cannabis,sweet,50,0.0034190371991247265
Cannabis,und,50,0.0034190371991247265
Cannabis,stress,49,0.003350656455142232
Cannabis,days,47,0.003213894967177243
Cannabis,medical,47,0.003213894967177243
Cannabis,earthy,45,0.0030771334792122538
Cannabis,anxiety,44,0.0030087527352297594
Cannabis,die,44,0.0030087527352297594
Cannabis,taste,44,0.0030087527352297594
Cannabis,diesel,42,0.0028719912472647702
Cannabis,lemon,42,0.0028719912472647702
Cannabis,potent,42,0.0028719912472647702
Cannabis,feel,41,0.002803610503282276
Cannabis,weed,41,0.002803610503282276
Cannabis,wir,41,0.002803610503282276
Cannabis,energy,40,0.002735229759299781
