FileName,Title,DrugName,BrandName,Drug_Type
00001,1 x POWER PLANT XL autoflower seed,POWER PLANT XL,,Cannabis  » Seeds
00003,1x Feminized AUTOFLOWER AK-47 Cannabis Seeds,KALASHNIKOV,,Cannabis  » Seeds
00004,1 x KALASHNIKOV autoflower seed,KALASHNIKOV,,Cannabis  » Seeds
00005,1x Feminized GORILLA GLUE Cannabis Seeds,GORILLA GLUE,,Cannabis  » Seeds
00007,1x Feminized CHEESE Cannabis Seeds from the Netherlands,CHEESE,,Cannabis  » Seeds
00010,1x Feminized WHITE WIDOW Cannabis Seeds from the Netherlands,WHITE WIDOW,,Cannabis  » Seeds
00011,Racemic Ketamine Powder - Australia local delivery (1 gram),Racemic Ketamine,,Dissociatives  » Ketamine
00017,⭐ ETOMETHAZENE BETTER THAN OXYCONTIN! 😊👌,ETOMETHAZENE,,Opioids  » Fentanyl
00018,Yk-11 Myostatin Inhibitator 100 ml 20 mg,Yk-11 Myostatin Inhibitator,,Steroids
00019,⭐ WHITE ISOTONITAZENE FREE SHIPPING WORLDWIDE 😊👌,WHITE ISOTONITAZENE,,Opioids  » Other
00025,Magic Mushrooms - 125mg microdose capsules x100,Magic Mushrooms,,Psychedelics  » Shrooms
00026,Wizard Fingers Psilocybin Mushrooms,Wizard Fingers Psilocybin Mushrooms,,Psychedelics  » Shrooms
00028,500g Gelato Dust Shake Trim £1400,Gelato Dust Shake Trim,,Cannabis  » Shake
00035,1-500g NEEDLE KETAMINE S-ISOMER SHARDS,NEEDLE KETAMINE,,Dissociatives  » Ketamine
00057,Hydroguru - 500 pills Hydrocodone 36/01,Hydrocodone,HYDROGURU,Opioids  » Hydrocodone
00059,M367 (Acetaminophen and Hydrocodone Bitartrate 325 mg / 10 mg),M367,,Opioids  » Hydrocodone
00067,lidocaine patch,lidocaine,,Stimulants  » Lidocaine
00073,Eu- Armodafinil ARTVIGIL 150mg 50-200 tabs,"Armodafinil ",ARTVIGIL,Prescription Drugs
00076,SGT-263 Available now,SGT-263,,Cannabis  » Synthetics
00081,Hydroguru - 1 Gram Methoxetamine (MXE),Methoxetamine (MXE),HYDROGURU,Dissociatives  » Methoxetamine (MXE)
00082,4-Meo-PCP in stocks with the best quality,4-Meo-PCP,,Dissociatives  » Methoxetamine (MXE)
00083,Methoxpropamine powder Available in stock,Methoxpropamine,,Dissociatives  » Methoxetamine (MXE)
00084,MOTHOXPROPAMINE BEST QUALITY TOP GFRADE WITH HIGH PURITY LEVEL,MOTHOXPROPAMINE,,Dissociatives  » Methoxetamine (MXE)
00085,"4-ACO-DMT (Psilacetin,4-Acetoxy-DMT) powder  / Psilocybin mushroom prodrug 500mg FREE SHIPPING",4-ACO-DMT,,Psychedelics  » Other
00086,8ball meth 3.5 grams Intro,Methamphetamine (Meth),8ball,Stimulants  » Methamphetamine (Meth)
00087,TESTOSTERONE ENENTHATE 250 MG/ML 10 ML MONSTERLAB,TESTOSTERONE ENANTHATE,MONSTERLAB,Steroids
